10115,CONFORM.COMPACT.SUBRASANTE CBR=95,M2,2550
10101,CORTE ARBOL MAS RETIRO(INCL.RAICES)H>3.0,UND,106590
10118,CORTE Y RETIRO ARBUSTO CERCO VIVO H=2.0M,ML,38250
10102,CORTE Y RETIRO DE ARBUSTO,UND,9740
10117,"CORTE Y RETIRO RAIZ 12.1""-20.0""",ML,19900
10116,"CORTE Y RETIRO RAIZ D=4""- 12""",ML,6370
10103,DEMOL.CAMARA DE CONCRETO,UND,177400
10105,DEMOL.LOSA CONCRETO E<=15CMS,M2,25220
10104,DEMOL.LOSA CONCRETO E<=20CMS,M2,29620
10106,LOCALIZACION-REPLANTEO ACUEDUCTO-ALCANTA,ML,1870
10107,LOCALIZACION-REPLANTEO C.MULTIPLE-PISTAS,M2,930
10113,LOCALIZACION-REPLANTEO CANCHA-FUTBOL,M2,410
10114,LOCALIZACION-REPLANTEO CERRAMIENTO-VARIO,ML,2010
10112,LOCALIZACION-REPLANTEO PARQUES-Z.VERDES,M2,930
10108,MANEJO DE AGUAS RESIDUALES,ML,8950
10109,RETIRO DE ARBUSTO Y POSTERIOR TRANSPLANT,UND,12900
10110,"RETIRO TUBERIA EXISTENTE 0"" A 12""",ML,6420
10111,"RETIRO TUBERIA EXISTENTE 14"" A 24""",ML,20030
10201,ACARREO MATERIALES PETREOS-TIERRA-VARIOS,M3K,1720
10209,CARGUE MAT. EXCAV. A MAQUINA (SIN TRANSP,M3,3850
10215,CONFIGURACION-NIVELACION TERRENO,M2,750
10202,DESCAPOTE MAQUINA,M2,270
10203,EXCAVACION A MAQUINA SIN RETIRO,M3,3000
10204,EXCAVACION EN ROCA,M3,46360
10205,EXCAVACION MAQUINA ALCANT.Y ACUEDUCTO,M3,2640
10206,RELLENO MATERIAL SITIO COMPACTADO CILIND,M3,13430
10207,RELLENO ROCA MUERTA COMPAC-CILINDRO,M3,27380
20101,ESTACION EB1,UND,10022460
20102,ESTACION EB2,UND,5458630
20103,ESTACION EB3,UND,2827840
20314,"TUB CONCRETO REFORZADO D=33""UNION CAUCHO",ML,369130
20315,"TUB CONCRETO REFORZADO D=36""UNION CAUCHO",ML,447690
20304,"TUB CONCRETO SIMPLE D= 6""UNION CAUCHO",ML,24530
20313,"TUB CONCRETO SIMPLE D= 8""UNION CAUCHO",ML,33130
20305,"TUB CONCRETO SIMPLE D=10""UNION CAUCHO",ML,39460
20306,"TUB CONCRETO SIMPLE D=12""UNION CAUCHO",ML,65910
20307,"TUB CONCRETO SIMPLE D=15""UNION CAUCHO",ML,91940
20308,"TUB CONCRETO SIMPLE D=18""UNION CAUCHO",ML,103490
20309,"TUB CONCRETO SIMPLE D=21""UNION CAUCHO",ML,151300
20310,"TUB CONCRETO SIMPLE D=24""UNION CAUCHO",ML,181520
20311,"TUB CONCRETO SIMPLE D=27""UNION CAUCHO",ML,310610
20312,"TUB CONCRETO SIMPLE D=30""UNION CAUCHO",ML,337120
20316,TUBERIA CONCRETO HR C II D=1.0 M,ML,451540
20317,TUBERIA CONCRETO HR C II D=1.10 MTS,ML,519060
20409,CABEZAL-CAJAS ALCANTARILLADO 2500 PSI,M3,572400
20410,CAMARA INSPECCION PISO TAPA,UND,438770
20403,CAMARA INSPECCION TIPO B H=0.00-1.50 MTS,UND,1396020
20404,CAMARA INSPECCION TIPO B H=1.50-2.00 MTS,UND,1527690
20418,CAMARA INSPECCION TIPO B H=2.01-2.50 MTS,UND,1681370
20417,CAMARA INSPECCION TIPO B H=2.51-3.00 MTS,UND,1870200
20422,CAMARA INSPECCION TIPO B H=3.01-3.50 MTS,UND,2022950
20423,CAMARA INSPECCION TIPO B H=3.51-4.00 MTS,UND,2179380
20424,CAMARA INSPECCION TIPO I H=0 -1.50 MTS,UND,2118040
20425,CAMARA INSPECCION TIPO I H=1.51-2.00 MTS,UND,2312230
20426,CAMARA INSPECCION TIPO I H=2.01-2.50 MTS,UND,2551050
20427,CAMARA INSPECCION TIPO I H=2.51-3.00 MTS,UND,2819270
20428,CAMARA INSPECCION TIPO I H=3.01-3.50 MTS,UND,3025240
20429,CAMARA INSPECCION TIPO I H=3.51-4.00 MTS,UND,3264060
20419,"EMPALME TUB 15""-21"" CAMARA CONCRETO",UND,150600
20420,"EMPALME TUB 15""-21"" CAMARA LADRILLO",UND,115510
20430,"EMPALME TUB CONCR 8""-12"" CAMARA CONCRETO",UND,109950
20431,"EMPALME TUB CONCR 8""-12"" CAMARA LADRILLO",UND,75210
20412,REALCE CAMARA DE INSPECCION,UND,309450
20405,RECONSTRUCCION LOSA PISO CAMARA INSPECCI,UND,192370
20406,RECONSTRUCCION LOSA SUPE-TAPA CAMARA,UND,332410
20421,RECUBRIMIENTO CONCRETO TUBERIA,M3,425400
20413,"RETIRO TUBERIA EXISTENTE 0"" A 12""",ML,6420
20414,"RETIRO TUBERIA EXISTENTE 14"" A 24""",ML,18910
20407,SUMIDERO DOBLE,UND,711710
20433,SUMIDERO DOBLE TIPO B,UND,574630
20408,SUMIDERO SENCILLO,UND,532280
20434,SUMIDERO SENCILLO TIPO B,UND,527090
20504,"TRANSP. TUB HR D=33 HASTA 36""",M/K,490
20502,"TRANSP. TUB HS D 12 HASTA 18""",M/K,100
20501,"TRANSP. TUB HS D 6"" HASTA 10""",M/K,60
20503,"TRANSP. TUB HS D=21 HASTA 30""",M/K,330
20604,"VALVULA CHAPALETA Q=4.10L/SEG S=1.5M 10""",UND,2240070
20605,"VALVULA CHAPALETA Q=4.10L/SEG S=1.5M 12""",UND,2213160
20602,"VALVULA CHAPALETA Q=4.10L/SEG S=1.5M 6""",UND,485680
20603,"VALVULA CHAPALETA Q=4.10L/SEG S=1.5M 8""",UND,836430
20718,"TUB PVC ALIGERADA RIB LOC 10""",ML,98760
20719,"TUB PVC ALIGERADA RIB LOC 12""",ML,139650
20720,"TUB PVC ALIGERADA RIB LOC 14""",ML,161380
20716,"TUB PVC ALIGERADA RIB LOC 6""",ML,58430
20717,"TUB PVC ALIGERADA RIB LOC 8""",ML,73800
20707,"TUB PVC NOVAFORT 10""",ML,73220
20708,"TUB PVC NOVAFORT 12""",ML,142680
20709,"TUB PVC NOVAFORT 16""",ML,180860
20710,"TUB PVC NOVAFORT 18""",ML,287590
20711,"TUB PVC NOVAFORT 20""",ML,349700
20704,"TUB PVC NOVAFORT 4""",ML,24040
20705,"TUB PVC NOVAFORT 6""",ML,55420
20706,"TUB PVC NOVAFORT 8""",ML,67420
20712,"TUB PVC NOVALOC ASTM 24"" SANIT""",ML,433130
20713,"TUB PVC NOVALOC ASTM 27"" PVC""",ML,506540
20714,"TUB PVC NOVALOC ASTM 30"" SANIT""",ML,627910
20715,"TUB PVC NOVALOC SAN ASTM 33""",ML,709590
30108,MOTOR ELEC 100HP 3600 RPM BOMBA,UND,11167040
30109,MOTOR ELEC 150HP 3600 RPM BOMBA,UND,17441500
30102,MOTOR ELEC 15HP 3600 RPM BOMBA,UND,2359780
30103,MOTOR ELEC 20HP 3600 RPM BOMBA,UND,2693010
30104,MOTOR ELEC 25HP 3600 RPM BOMBA,UND,2884410
30110,MOTOR ELEC 30HP 3600 RPM BOMBA,UND,3943060
30105,MOTOR ELEC 35HP 3600 RPM BOMBA,UND,4728960
30106,MOTOR ELEC 50HP 3600 RPM BOMBA,UND,6770060
30101,MOTOR ELEC 5HP 3600 RPM BOMBA,UND,1034650
30107,MOTOR ELEC 60HP 3600 RPM BOMBA,UND,7835610
30209,"BOMBA SUMERG 1.0 HP LAPICERO 4"" BRONCE",UND,2758380
30202,"BOMBA SUMERG 15 HP LAPICERO 6"" A.INOX",UND,11351510
30203,"BOMBA SUMERG 20 HP LAPICERO 6"" A.INOX",UND,13791160
30204,"BOMBA SUMERG 25 HP LAPICERO 6"" A.INOX",UND,16426250
30201,"BOMBA SUMERG 3.0 HP LAPICERO 4"" A.INOX",UND,4802040
30205,"BOMBA SUMERG 30 HP LAPICERO 6"" A.INOX",UND,23701720
30206,"BOMBA SUMERG 40 HP LAPICERO 6"" A.INOX",UND,26255150
30207,"BOMBA SUMERG 50 HP LAPICERO 6"" A.INOX",UND,30578430
30208,"BOMBA SUMERG 60 HP LAPICERO 6"" A.INOX",UND,38091030
30501,ARRANCADOR VOL-C10 230 40-50AMP,UND,1107430
30503,CONTACTOR ABIERTO 60 AMP AC3 220 VOL,UND,932530
30508,CONTROL DE NIVEL POZO TIPO GWARRICK,UND,279070
30504,HIMEL,UND,214600
30502,MONITOR DE VOLTAJE,UND,393330
30506,PULSADOR LUMINOSO VERDE,UND,103380
30505,RELE BIMETALICO TERMICO 32-40 AMP,UND,442230
30507,SUMIN CONTACTOR ABIERTO 60 AMP AC3 220 V,UND,914200
30509,TABL CONTR DUPLEX 3600RPM 1.0HP-10.0AM,UND,1634090
40130,DESVIACION CAUCE ANCHOS ENTRE 0 Y 1 ML,ML,89670
40131,DESVIACION TEMPORAL CAUCE ANCHOS 1 A 3 M,ML,140610
40165,"REJILLA HIERRO D=1/2 E=1/2, 1.0x0.60MTS",UND,205410
40162,"REJILLA HIERRO D=1/2"" E=1/2 1.50x.40MTS",UND,145390
40163,"REJILLA HIERRO D=1/2"" E=1/2"" 0.6x0.40MTS",UND,73460
40164,"REJILLA HIERRO D=1/2, E=1/2, 1.0x0.30MTS",UND,83070
40167,REJILLA LAM.AC.INOX. CAL 9 1.0x0.30MTS,UND,159610
40166,REJILLA LAM.AC.INOX. CAL 9 1.0x0.60MTS,UND,348670
40168,REJILLA LAM.AC.INOX. CAL.9 1.5x0.40MTS,UND,396730
40304,HIDRANTE CHICAGO-MILAN 3 E BRIDA,UND,1894090
40303,HIDRANTE CHICAGO-MILAN 3 E J.R.,UND,1749890
40312,HIDRANTE CHICAGO-MILAN 3 E LISO PVC,UND,1749890
40301,HIDRANTE LONDRES 4 E BRIDA,UND,2597580
40308,HIDRANTE LONDRES 4 E LISO PVC,UND,3615340
40302,HIDRANTE LONDRES 6 E BRIDA,UND,3163080
40313,HIDRANTE LONDRES 6 E LISO PVC,UND,4175850
40314,HIDRANTE PARED-POSTE 4 ROSCADO,UND,880960
40305,HIDRANTE ROMA 4 E BRIDA,UND,3640590
40311,HIDRANTE ROMA 4 E J.R. PVC,UND,3818890
40309,HIDRANTE ROMA 4 E LISO PVC,UND,3506270
40306,HIDRANTE ROMA 6 E BRIDA,UND,4362150
40310,HIDRANTE ROMA 6 E LISO PVC,UND,4175850
40307,HIDRANTE SAN FRANCISCO 3 ROSCADO,UND,1516290
40502,ARRAN 3600RPM C/SELEC 12.0-17.0AMP 5.0HP,UND,394310
40503,ARRAN 3600RPM C/SELEC 16.0-23.0AMP 7.5HP,UND,418480
40504,ARRAN 3600RPM C/SELEC 23.0-32.0AMP12.0HP,UND,518440
40505,ARRAN 3600RPM C/SELEC 4.0- 6.0AMP 1.8HP,UND,311550
40501,ARRAN 3600RPM C/SELEC 8.5-12.5AMP 3.6HP,UND,345030
40507,ARRAN ESTRELLA TRIA 230V 12-17AMP 9.0HP,UND,1337960
40508,ARRAN ESTRELLA TRIA 230V 23-32AMP 18.0HP,UND,1350660
40509,ARRAN ESTRELLA TRIA 230V 32-42AMP 24.0HP,UND,2055870
40510,ARRAN ESTRELLA TRIA 230V 40-52AMP 34.0HP,UND,2345960
40511,ARRAN ESTRELLA TRIA 230V 58-75AMP 50.0HP,UND,2651900
40513,"BOLA DE COBRE D=1""-2""",UND,92010
40512,"BOLA DE COBRE D=3""",UND,52700
40559,"COMPUERTA BETA ELASTICA JR8"" EL-PVC""",UND,1288760
40514,CONT NIV HG 110-220V 13X6AMP ANG90 TB-TA,UND,130790
40526,TABL CONTR DUPLEX 3600RPM 5 HP-16.0AM,UND,1662480
40517,TABL CONTR DUPLEX 3600RPM 6.6HP-17.5AM,UND,1354490
40518,TABL CONTR DUPLEX 3600RPM 7.5HP-21.8AM,UND,1353890
40519,TABL CONTR DUPLEX 3600RPM 9 HP-24 AM,UND,1694050
40523,TABL CONTR TRIPLEX 3600RPM 12 HP-32.0AM,UND,2724030
40520,TABL CONTR TRIPLEX 3600RPM 3.6HP-10.5AM,UND,1610070
40521,TABL CONTR TRIPLEX 3600RPM 5 HP-16.0AM,UND,1799680
40522,TABL CONTR TRIPLEX 3600RPM 6.6HP-17.5AM,UND,1922240
40524,TABL CONTR TRIPLEX 3600RPM 7.5HP-21.8AM,UND,1955970
40525,TABL CONTR TRIPLEX 3600RPM 9 HP-24.0AM,UND,2161930
40532,"VALV CHEQUE CORTINA BRONCE D= 1,1/2""",UND,88540
40530,"VALV CHEQUE CORTINA BRONCE D= 2""",UND,265170
40531,"VALV CHEQUE CORTINA BRONCE D= 3""",UND,125000
40533,"VALV CHEQUE CORTINA HIERRO D= 3""",UND,511810
